project_id,project_name,client_id,bu_id,region_id,pm_id,billing_model,start_date,end_date,bill_rate_usd_per_hr,fixed_fee_total_usd,status
PR00001,Cultivate Revolutionary E-Commerce,CL00020,BU00003,RG00001,PM00053,T&M,2024-09-08,2025-03-08,82.0,,Active
PR00002,Target Intuitive Vortals,CL00075,BU00001,RG00002,PM00037,Fixed Fee,2023-01-30,2023-03-30,,365115.0,Active
PR00003,Brand Wireless Functionalities,CL00117,BU00002,RG00006,PM00030,Retainer,2025-06-13,2025-07-13,95.0,,Completed
PR00004,Envisioneer One-To-One Interfaces,CL00161,BU00004,RG00004,PM00015,T&M,2024-10-10,2025-01-10,116.0,,Active
PR00005,Harness Frictionless E-Business,CL00233,BU00005,RG00002,PM00010,T&M,2023-02-02,2023-08-02,130.0,,Completed
PR00006,E-Enable Bricks-And-Clicks Infrastructures,CL00153,BU00005,RG00004,PM00016,T&M,2024-12-15,2025-02-15,87.0,,Active
PR00007,Iterate Sticky Action-Items,CL00104,BU00005,RG00005,PM00070,T&M,2024-11-09,2025-05-09,94.0,,Active
PR00008,Benchmark Wireless Deliverables,CL00011,BU00007,RG00006,PM00042,Fixed Fee,2024-11-07,2025-05-07,,266638.0,Active
PR00009,Strategize Extensible Supply-Chains,CL00059,BU00001,RG00006,PM00035,Fixed Fee,2023-05-03,2024-02-03,,392115.0,Completed
PR00010,Facilitate Frictionless Partnerships,CL00045,BU00008,RG00005,PM00057,Retainer,2023-12-11,2024-02-11,94.0,,Active
PR00011,Whiteboard One-To-One Deliverables,CL00150,BU00007,RG00006,PM00063,Retainer,2025-03-04,2025-05-04,96.0,,Active
PR00012,Aggregate Cross-Media Convergence,CL00105,BU00006,RG00003,PM00014,Retainer,2025-03-03,2025-12-31,130.0,,Active
PR00013,Transition B2B Action-Items,CL00178,BU00008,RG00003,PM00052,Retainer,2025-09-29,2025-12-29,179.0,,Active
PR00014,Orchestrate Dot-Com Solutions,CL00117,BU00002,RG00003,PM00033,T&M,2023-06-09,2023-09-09,128.0,,On Hold
PR00015,Expedite B2C Experiences,CL00104,BU00001,RG00006,PM00070,T&M,2023-09-27,2023-11-27,84.0,,Active
PR00016,Reinvent Rich Bandwidth,CL00133,BU00006,RG00005,PM00064,Fixed Fee,2023-04-28,2023-07-28,,408568.0,Completed
PR00017,Engineer Customized Methodologies,CL00053,BU00005,RG00005,PM00017,Retainer,2025-05-25,2025-08-25,81.0,,Active
PR00018,Visualize World-Class Functionalities,CL00179,BU00008,RG00001,PM00004,Retainer,2025-05-26,2025-12-31,93.0,,Active
PR00019,Orchestrate Visionary Partnerships,CL00062,BU00003,RG00003,PM00071,T&M,2024-05-06,2024-06-06,124.0,,Active
PR00020,Grow Seamless Niches,CL00058,BU00002,RG00004,PM00016,Fixed Fee,2024-12-29,2025-12-29,,203618.0,Active
PR00021,Streamline Synergistic Mindshare,CL00239,BU00005,RG00005,PM00035,T&M,2025-07-07,2025-12-31,72.0,,Active
PR00022,Monetize Plug-And-Play Systems,CL00121,BU00004,RG00004,PM00071,T&M,2023-04-26,2023-05-26,82.0,,Active
PR00023,Streamline Out-Of-The-Box Technologies,CL00154,BU00003,RG00001,PM00036,Fixed Fee,2023-02-28,2024-02-28,,294484.0,Completed
PR00024,Visualize E-Business E-Business,CL00088,BU00005,RG00001,PM00037,Fixed Fee,2023-04-30,2023-10-30,,153232.0,Completed
PR00025,Deliver Integrated Bandwidth,CL00149,BU00008,RG00002,PM00058,T&M,2025-07-11,2025-12-31,147.0,,Active
PR00026,Engage Revolutionary Systems,CL00142,BU00007,RG00004,PM00042,Retainer,2025-06-20,2025-12-20,50.0,,On Hold
PR00027,Visualize Dynamic Vortals,CL00062,BU00007,RG00002,PM00053,T&M,2025-06-07,2025-07-07,74.0,,Active
PR00028,Syndicate B2C Markets,CL00181,BU00007,RG00004,PM00020,T&M,2025-07-28,2025-12-31,104.0,,Active
PR00029,Transform Cross-Platform Infrastructures,CL00129,BU00006,RG00001,PM00057,T&M,2024-11-30,2025-05-30,90.0,,Completed
PR00030,Visualize Virtual Paradigms,CL00004,BU00003,RG00004,PM00020,T&M,2025-02-22,2025-03-22,89.0,,Completed
PR00031,Unleash Visionary Systems,CL00068,BU00006,RG00005,PM00051,Fixed Fee,2024-01-20,2025-07-20,,423727.0,Completed
PR00032,Mesh Granular Relationships,CL00219,BU00007,RG00003,PM00063,Retainer,2025-03-25,2025-12-31,96.0,,Active
PR00033,Redefine Front-End Architectures,CL00018,BU00004,RG00006,PM00037,Retainer,2024-08-02,2025-08-02,144.0,,Active
PR00034,Revolutionize Cross-Platform Methodologies,CL00112,BU00002,RG00006,PM00013,T&M,2024-09-27,2025-09-27,92.0,,Active
PR00035,Streamline Open-Source Partnerships,CL00232,BU00001,RG00001,PM00042,Fixed Fee,2025-07-17,2025-10-17,,206207.0,Active
PR00036,Transform Integrated Technologies,CL00096,BU00007,RG00002,PM00032,T&M,2024-05-27,2025-05-27,110.0,,Active
PR00037,Drive B2C Supply-Chains,CL00203,BU00003,RG00002,PM00023,T&M,2024-01-27,2024-07-27,100.0,,Completed
PR00038,Benchmark B2B Convergence,CL00159,BU00004,RG00004,PM00075,T&M,2023-05-07,2023-11-07,105.0,,Active
PR00039,Visualize Impactful Channels,CL00066,BU00008,RG00003,PM00002,Retainer,2024-04-26,2024-10-26,86.0,,Active
PR00040,Unleash Strategic Content,CL00074,BU00003,RG00001,PM00057,Retainer,2025-07-13,2025-12-31,62.0,,On Hold
PR00041,Synergize Open-Source Channels,CL00077,BU00007,RG00006,PM00033,T&M,2025-05-18,2025-08-18,112.0,,Active
PR00042,Evolve Cutting-Edge Mindshare,CL00099,BU00008,RG00001,PM00031,T&M,2025-03-28,2025-09-28,105.0,,Active
PR00043,Utilize Bricks-And-Clicks Content,CL00076,BU00005,RG00001,PM00051,T&M,2024-07-16,2024-09-16,118.0,,Active
PR00044,Architect Cross-Platform Models,CL00176,BU00001,RG00005,PM00064,Retainer,2023-10-08,2024-01-08,138.0,,Completed
PR00045,Enhance Global Eyeballs,CL00199,BU00004,RG00005,PM00046,T&M,2023-10-26,2024-01-26,89.0,,Active
PR00046,Envisioneer Mission-Critical Mindshare,CL00065,BU00003,RG00006,PM00013,Retainer,2023-04-30,2024-01-30,124.0,,Active
PR00047,E-Enable Robust Web Services,CL00080,BU00008,RG00001,PM00075,T&M,2025-04-18,2025-06-18,97.0,,Active
PR00048,Matrix End-To-End Metrics,CL00233,BU00005,RG00003,PM00054,T&M,2024-06-07,2024-09-07,112.0,,Active
PR00049,Orchestrate Granular Roi,CL00139,BU00006,RG00005,PM00065,Retainer,2024-08-08,2025-05-08,110.0,,Completed
PR00050,Exploit Frictionless Systems,CL00066,BU00008,RG00003,PM00044,Retainer,2025-08-28,2025-11-28,83.0,,Active
PR00051,Deploy Bricks-And-Clicks Methodologies,CL00020,BU00003,RG00002,PM00051,Retainer,2023-03-09,2023-12-09,125.0,,Completed
PR00052,Grow Front-End Systems,CL00094,BU00002,RG00004,PM00002,T&M,2024-01-04,2024-03-04,90.0,,Active
PR00053,Incubate Web-Enabled Content,CL00095,BU00005,RG00005,PM00049,Retainer,2023-12-30,2025-06-30,101.0,,Completed
PR00054,Productize Dynamic Relationships,CL00028,BU00004,RG00004,PM00004,Fixed Fee,2024-12-29,2025-09-29,,446071.0,Completed
PR00055,Grow Plug-And-Play Technologies,CL00084,BU00004,RG00006,PM00009,Fixed Fee,2025-06-05,2025-12-05,,219119.0,Active
PR00056,Deliver Next-Generation Communities,CL00180,BU00005,RG00006,PM00053,T&M,2024-08-16,2025-08-16,116.0,,Active
PR00057,Exploit Global Portals,CL00010,BU00005,RG00004,PM00015,T&M,2023-11-07,2024-05-07,142.0,,Completed
PR00058,Visualize Compelling Relationships,CL00035,BU00007,RG00004,PM00048,Fixed Fee,2023-03-23,2024-03-23,,301967.0,Active
PR00059,Re-Contextualize Sticky Deliverables,CL00243,BU00007,RG00005,PM00020,Retainer,2025-05-11,2025-12-31,115.0,,Active
PR00060,Envisioneer Strategic Communities,CL00214,BU00008,RG00005,PM00053,Retainer,2023-07-13,2023-08-13,117.0,,Active
PR00061,Grow B2B E-Commerce,CL00177,BU00006,RG00002,PM00057,T&M,2024-02-28,2024-03-28,114.0,,Active
PR00062,Redefine Magnetic Systems,CL00093,BU00002,RG00006,PM00048,T&M,2023-05-23,2024-02-23,80.0,,On Hold
PR00063,Re-Contextualize Proactive E-Markets,CL00092,BU00001,RG00004,PM00036,T&M,2024-06-27,2025-06-27,91.0,,Active
PR00064,Strategize Out-Of-The-Box Action-Items,CL00218,BU00008,RG00001,PM00028,Fixed Fee,2023-03-24,2024-03-24,,311917.0,Active
PR00065,Evolve Out-Of-The-Box E-Services,CL00006,BU00001,RG00003,PM00032,Retainer,2024-08-22,2025-05-22,88.0,,Completed
PR00066,Harness Mission-Critical Experiences,CL00053,BU00002,RG00005,PM00027,Fixed Fee,2023-02-13,2023-08-13,,127628.0,Completed
PR00067,Generate B2B Channels,CL00060,BU00006,RG00002,PM00077,T&M,2024-06-04,2025-12-04,131.0,,Completed
PR00068,Envisioneer Collaborative Channels,CL00038,BU00003,RG00005,PM00033,Fixed Fee,2023-03-01,2023-12-01,,468030.0,Active
PR00069,Grow Clicks-And-Mortar Infrastructures,CL00222,BU00001,RG00002,PM00002,T&M,2024-12-29,2025-09-29,74.0,,Completed
PR00070,Morph Killer Eyeballs,CL00151,BU00006,RG00001,PM00023,T&M,2023-01-30,2024-01-30,83.0,,Active
PR00071,Drive Cutting-Edge Initiatives,CL00108,BU00002,RG00006,PM00009,T&M,2025-05-02,2025-12-31,106.0,,Completed
PR00072,Incentivize Seamless Initiatives,CL00132,BU00002,RG00004,PM00065,T&M,2024-03-23,2025-09-23,88.0,,Active
PR00073,Incentivize Next-Generation Functionalities,CL00187,BU00005,RG00004,PM00004,T&M,2023-03-16,2024-03-16,86.0,,Active
PR00074,Target Innovative Initiatives,CL00103,BU00007,RG00006,PM00014,T&M,2025-08-25,2025-12-31,114.0,,Completed
PR00075,Expedite Vertical Functionalities,CL00019,BU00002,RG00003,PM00078,T&M,2025-02-15,2025-11-15,115.0,,Active
PR00076,Maximize Web-Enabled Eyeballs,CL00160,BU00006,RG00004,PM00077,T&M,2025-03-11,2025-12-31,111.0,,Active
PR00077,Brand Clicks-And-Mortar E-Business,CL00155,BU00007,RG00001,PM00015,Retainer,2024-03-28,2025-03-28,131.0,,Active
PR00078,Incentivize Next-Generation Roi,CL00197,BU00004,RG00004,PM00058,Retainer,2024-07-02,2025-07-02,75.0,,Active
